,LASSO LogOdds Coeff,|LASSO Coeff|
(Intercept),436.1364891,436.1364891
DrinkCook1,0.660518579,0.660518579
PureAir1,0.639885744,0.639885744
UsageBins.L,0.614489841,0.614489841
WashClothes1,0.610799327,0.610799327
Deforestation.L,0.551093122,0.551093122
Incentives.Q,-0.443675376,0.443675376
Deforestation.Q,-0.334951602,0.334951602
RiverSports1,-0.311763801,0.311763801
Irrigation1,0.291778504,0.291778504
Dust.Q,-0.187834987,0.187834987
CattleTroughs1,0.144408821,0.144408821
ImpPublicSanitation.L,-0.070065627,0.070065627
ImpPublicSanitation.Q,-0.06466977,0.06466977
ImpTrash.L,-0.054131393,0.054131393
NaturalRelaxxation1,0.043051885,0.043051885
ImpPublicTransport.L,-0.038076549,0.038076549
ImpElectricity.Q,-0.035981579,0.035981579
ComTypeU,-0.02543647,0.02543647
ProAirContan.Q,0.024488119,0.024488119
ImpRoads.Q,-0.024330492,0.024330492
ProAirContan.C,-0.022165713,0.022165713
ImpRoads.L,-0.018859497,0.018859497
Dust.C,0.012829054,0.012829054
ComTypeP,0.003913229,0.003913229
UTMY,-4.56E-05,4.56E-05
ServiceAmount.L,0,0
ServiceAmount.Q,0,0
ServiceAmount.C,0,0
ServiceAmount^4,0,0
ServiceAmount^5,0,0
ServiceAmount^6,0,0
ServiceAmount^7,0,0
ImpWaterQuality.L,0,0
ImpWaterQuality.Q,0,0
ImpElectricity.L,0,0
ImpTrash.Q,0,0
ImpPublicTransport.Q,0,0
ImpPublicSchool.L,0,0
ImpPublicSchool.Q,0,0
ImpAirQuality.L,0,0
ImpAirQuality.Q,0,0
ProAgriChem.L,0,0
ProAgriChem.Q,0,0
ProAgriChem.C,0,0
ProTrash.L,0,0
ProTrash.Q,0,0
ProTrash.C,0,0
ProWaterContam.L,0,0
ProWaterContam.Q,0,0
ProWaterContam.C,0,0
ProAirContan.L,0,0
Mosquitos.L,0,0
Mosquitos.Q,0,0
Mosquitos.C,0,0
Traffic.L,0,0
Traffic.Q,0,0
Traffic.C,0,0
Dust.L,0,0
Noise.L,0,0
Noise.Q,0,0
Noise.C,0,0
Watewater.L,0,0
Watewater.Q,0,0
Watewater.C,0,0
WaterQuality.L,0,0
WaterQuality.Q,0,0
WaterQuality.C,0,0
WaterQuality^4,0,0
Recreation1,0,0
WaterServices.L,0,0
WaterServices.Q,0,0
WaterServices.C,0,0
AgriculturalUse.L,0,0
AgriculturalUse.Q,0,0
AgriculturalUse.C,0,0
LiveStock.L,0,0
LiveStock.Q,0,0
LiveStock.C,0,0
Debris.L,0,0
Debris.Q,0,0
Debris.C,0,0
Mining.L,0,0
Mining.Q,0,0
Mining.C,0,0
Deforestation.C,0,0
ApplyLaws.L,0,0
ApplyLaws.Q,0,0
ApplyLaws.C,0,0
Fines.L,0,0
Fines.Q,0,0
Fines.C,0,0
Incentives.L,0,0
Incentives.C,0,0
EducationPrograms.L,0,0
EducationPrograms.Q,0,0
EducationPrograms.C,0,0
Gender2,0,0
Age.L,0,0
Age.Q,0,0
Age.C,0,0
Education.L,0,0
Education.Q,0,0
Education.C,0,0
Education^4,0,0
Residency2,0,0
Residency3,0,0
Residency4,0,0
UsageBins.Q,0,0
